name,rank,charter,consolidated_assets
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO ,1,NAT,3207521
BANK OF AMER NA/BANK OF AMER CORP ,2,NAT,2316773
WELLS FARGO BK NA/WELLS FARGO & CO ,3,NAT,1773157
CITIBANK NA/CITIGROUP ,4,NAT,1684634
U S BK NA/U S BC ,5,NAT,542566
TRUIST BK/TRUIST FC ,6,SNM,506471
PNC BK NA/PNC FNCL SVC GROUP ,7,NAT,469299
T D BK NA/TD GRP US HOLDS LLC ,8,NAT,411622
BANK OF NY MELLON/BANK OF NY MELLON CORP ,9,SMB,383939
CAPITAL ONE NA/CAPITAL ONE FC ,10,NAT,369908
STATE STREET B&TC/STATE STREET CORP ,11,SMB,313281
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE ,12,SMB,288623
FIFTH THIRD BK NA/FIFTH THIRD BC ,13,NAT,205490
HSBC BK USA NA/HSBC N AMER HOLDS ,14,NAT,194912
CITIZENS BK NA/CITIZENS FNCL GRP ,15,NAT,187182
MORGAN STANLEY BK NA/MORGAN STANLEY ,16,NAT,179805
KEYBANK NA/KEYCORP ,17,NAT,174008
ALLY BK/ALLY FNCL ,18,SMB,171537
NORTHERN TC/NORTHERN TR CORP ,19,SMB,163541
BMO HARRIS BK NA/BMO FNCL CORP ,20,NAT,159208
FIRST REPUBLIC BK/ ,21,SNM,155798
REGIONS BK/REGIONS FC ,22,SMB,152519
MANUFACTURERS & TRADERS TC/M&T BK CORP ,23,SMB,150096
SILICON VALLEY BK/SVB FNCL GRP ,24,SMB,140261
AMERICAN EXPRESS NB/AMERICAN EXPRESS CO ,25,NAT,137270
MUFG UNION BK NA/MUFG AMERS HOLDS CORP ,26,NAT,134785
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY ,27,NAT,126864
HUNTINGTON NB/HUNTINGTON BSHRS ,28,NAT,125419
DISCOVER BK/DISCOVER FS ,29,SNM,112296
CAPITAL ONE BK USA NA/CAPITAL ONE FC ,30,NAT,105969
BBVA USA/BBVA USA BSHRS ,31,SMB,101926
BANK OF THE WEST/BNP PARIBAS USA ,32,SNM,98394
SANTANDER BK NA/SANTANDER HOLDS USA ,33,NAT,88909
FIRST HORIZON BK/FIRST HORIZON CORP ,34,SMB,87114
COMERICA BK/COMERICA ,35,SMB,86257
SIGNATURE BK/ ,36,SNM,85382
ZIONS BC NA/ ,37,NAT,85121
CITY NB/RBC US GRP HOLDS LLC ,38,NAT,81470
PEOPLES UNITED BK NA/PEOPLES UNITED FNCL INC ,39,NAT,63942
EAST WEST BK/EAST WEST BC ,40,SMB,56859
SYNOVUS BK/SYNOVUS FC ,41,SMB,55099
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS ,42,SNM,53820
CIT BK NA/CIT GROUP ,43,NAT,50658
TCF NB/TCF FC ,44,NAT,49421
BOKF NA/BOK FC ,45,NAT,47239
FROST BK/CULLEN/FROST BKR ,46,SMB,44092
CIBC BK USA/CIBC BC USA ,47,SNM,43885
WESTERN ALLI BK/WESTERN ALLI BC ,48,SMB,43451
VALLEY NB/VALLEY NAT BC ,49,NAT,41158
TEXAS CAP BK NA/TEXAS CAP BSHRS ,50,NAT,40035
SOUTH ST BK NA/SOUTH ST CORP ,51,NAT,39609
FIRST NB OF PA/FNB CORP ,52,NAT,38552
DEUTSCHE BK TC AMERICAS/DB USA CORP ,53,SMB,37741
PROSPERITY BK/PROSPERITY BSHRS ,54,SNM,35564
PINNACLE BK/PINNACLE FNCL PTNR ,55,SNM,35146
BANKUNITED NA/BANKUNITED ,56,NAT,35052
HANCOCK WHITNEY BK/HANCOCK WHITNEY CORP ,57,SNM,35050
ASSOCIATED BK NA/ASSOCIATED BANC-CORP ,58,NAT,34527
UMB BK NA/UMB FC ,59,NAT,34409
WEBSTER BK NA/WEBSTER FNCL CORP ,60,NAT,33300
RAYMOND JAMES BK NA/RAYMOND JAMES FNCL ,61,NAT,33221
COMMERCE BK/COMMERCE BSHRS ,62,SMB,33155
PACIFIC WESTERN BK/PACWEST BC ,63,SNM,32808
BNY MELLON NA/BANK OF NY MELLON CORP ,64,NAT,31661
UMPQUA BK/UMPQUA HC ,65,SNM,30039
T D BK USA NA/TD GRP US HOLDS LLC ,66,NAT,29853
STERLING NB/STERLING BC ,67,NAT,29831
BARCLAYS BK DE/BARCLAYS US LLC ,68,SNM,29380
BANK OZK/ ,69,SNM,27277
UNITED BK/UNITED BSHRS ,70,SMB,26993
ARVEST BK/ARVEST BK GRP ,71,SMB,26260
FIRSTBANK/FIRSTBANK HC ,72,SMB,25882
BANK OF AMER CA NA/BANK OF AMER CORP ,73,NAT,25860
BANCORPSOUTH BK/ ,74,SNM,25803
INVESTORS BK/INVESTORS BC ,75,SNM,25770
FULTON BK NA/FULTON FNCL CORP ,76,NAT,25742
FIRST NB OF OMAHA/LAURITZEN CORP ,77,NAT,25478
OLD NB/OLD NAT BC ,78,NAT,23640
FIRST HAWAIIAN BK/FIRST HAWAIIAN ,79,SNM,23496
SIMMONS BK/SIMMONS FIRST NAT CORP ,80,SMB,23288
BANK OF HAWAII/BANK OF HI CORP ,81,SMB,21918
AMERIS BK/AMERIS BC ,82,SNM,21338
FIRST MW BK/FIRST MW BC ,83,SMB,21095
PACIFIC PREMIER BK/PACIFIC PREMIER BC ,84,SMB,20172
WELLS FARGO NB WEST/WELLS FARGO & CO ,85,NAT,19863
ATLANTIC UNION BK/ATLANTIC UNION BSHRS CORP ,86,SMB,19801
GLACIER BK/GLACIER BC ,87,SNM,19759
CITY NB OF FL/BCI FNCL GRP ,88,NAT,19742
WASHINGTON FED BK NA/WASHINGTON FED INC ,89,NAT,19535
CATHAY BK/CATHAY GEN BC ,90,SNM,19212
MECHANICS BK/2011 TCRT ,91,SNM,18945
CUSTOMERS BK/CUSTOMERS BC ,92,SMB,18807
CADENCE BK NA/CADENCE BC ,93,NAT,18792
UNITED CMNTY BK/UNITED CMNTY BK ,94,SNM,18513
FIRST INTRST BK/FIRST INTRST BANCSYSTEM ,95,SMB,18385
INDEPENDENT BK/INDEPENDENT BK GRP ,96,SNM,18111
COLUMBIA ST BK/COLUMBIA BKG SYS ,97,SNM,17326
CENTENNIAL BK/HOME BSHRS ,98,SMB,17206
BANK OF HOPE/HOPE BC ,99,SNM,17193
WESBANCO BK/WESBANCO ,100,SNM,17017
TRUSTMARK NB/TRUSTMARK CORP ,101,NAT,16876
EASTERN BK/EASTERN BSHRS ,102,SNM,16715
BANNER BK/BANNER CORP ,103,SNM,16116
FIRST FNCL BK/FIRST FNCL BC ,104,SMB,16099
RENASANT BK/RENASANT CORP ,105,SNM,15621
BREMER BK NA/OTTO BREMER TR ,106,NAT,15534
TOWNEBANK/ ,107,SNM,15079
CITIZENS BUS BK/CVB FC ,108,SNM,14836
STIFEL B&T/STIFEL FNCL CORP ,109,SMB,14793
FIRST MRCHS BK/FIRST MRCHS CORP ,110,SNM,14608
COMMUNITY BK NA/COMMUNITY BK SYS ,111,NAT,14429
PLAINSCAPITAL BK/DIAMOND HTH STOCK CO GP LLC ,112,SMB,14230
ROCKLAND TC/INDEPENDENT BC ,113,SNM,13776
CROSS RIVER BK/CRB GRP ,114,SNM,13483
DIME CMNTY BK/DIME CMNTY BANCSHARES ,115,SMB,13012
GREAT WESTERN BK/GREAT WESTERN BC ,116,SNM,13006
SANDY SPRING BK/SANDY SPRING BC ,117,SMB,12861
BERKSHIRE BK/BERKSHIRE HILLS BC ,118,SNM,12754
SERVISFIRST BK/SERVISFIRST BSHRS ,119,SNM,12646
FIRST FNCL BK NA/FIRST FNCL BSHRS ,120,NAT,12066
FIRSTBANK/FB FC ,121,SNM,11921
ISRAEL DISCOUNT BK OF NY/DISCOUNT BC ,122,SNM,11667
OCEANFIRST BK NA/OCEANFIRST FNCL CORP ,123,NAT,11545
NBT BK NA/NBT BC ,124,NAT,11443
FIRST UNITED B&TC/SPEND LIFE WISELY CO ,125,SNM,11147
EAGLEBANK/EAGLE BC ,126,SMB,11102
BUSEY BK/FIRST BUSEY CORP ,127,SNM,10740
POPULAR BK/POPULAR ,128,SMB,10558
INTERNATIONAL BK OF CMRC/INTERNATIONAL BSHRS CORP ,129,SNM,10557
BOSTON PRIVATE B&TC/BOSTON PRIVATE FNCL HOLD ,130,SMB,10510
TRISTATE CAP BK/TRISTATE CAP HLD INC ,131,SNM,10488
FARMERS & MRCH BK/PALOMAR ENT LLC ,132,SMB,10454
ENTERPRISE B&TC/ENTERPRISE FS CORP ,133,SNM,10156
WASHINGTON TR BK/WTB FC ,134,SNM,10097
PARK NB/PARK NAT CORP ,135,NAT,9878
BELL BK/STATE BSHRS ,136,SNM,9834
METABANK NA/META FNCL GRP ,137,NAT,9793
WOODFOREST NB/WOODFOREST FNCL GRP ESOP W 401 ,138,NAT,9792
BANCFIRST/BANCFIRST CORP ,139,SNM,9486
MERCHANTS BK OF IN/MERCHANTS BC ,140,SNM,9450
SAFRA NB OF NY/SNBNY HOLD ,141,NAT,9421
FIRST COMMONWEALTH BK/FIRST COMMONWEALTH FNCL CORP ,142,SNM,9393
S&T BK/S&T BC ,143,SNM,9320
VERITEX CMNTY BK/VERITEX HOLD ,144,SMB,9232
COMENITY BK/ ,145,SNM,9130
NEXBANK/SLHC TR ,146,SNM,9083
NEXBANK/MARK & PAMELA OKADA FAM TR ,146,SNM,NA
SEACOAST NB/SEACOAST BKG CORP OF FL ,147,NAT,8813
LIVE OAK BKG CO/LIVE OAK BSHRS ,148,SNM,8337
WINTRUST BK NA/WINTRUST FC ,149,NAT,8322
BANK LEUMI USA/BANK LEUMI LE-ISRAEL CORP ,150,SNM,8235
FLUSHING BK/FLUSHING FC ,151,SNM,8160
TRI CTY BK/TRICO BSHRS ,152,SNM,8021
BANC OF CA NA/BANC OF CA ,153,NAT,7926
LAKELAND BK/LAKELAND BC ,154,SNM,7771
SILVERGATE BK/SILVERGATE CAP CORP ,155,SMB,7757
BANCORP BK/BANCORP ,156,SNM,7753
AMERANT BK NA/AMERANT BC ,157,NAT,7742
FIRST BK/FIRST BC ,158,SMB,7740
MIZUHO BK USA/MIZUHO AMERS LLC ,159,SMB,7653
FIRST SECURITY BK/FIRST SECURITY BANCORP ,160,SNM,7548
ORIGIN BK/ORIGIN BC ,161,SMB,7532
1ST SOURCE BK/1ST SOURCE CORP ,162,SMB,7512
PREMIER BK/PREMIER FNCL CORP ,163,SNM,7474
CONNECTONE BK/CONNECTONE BC ,164,SNM,7449
AMARILLO NB/AMARILLO NAT BC ,165,NAT,7400
CENTURY B&TC/CENTURY BC ,166,SNM,7272
HOMESTREET BK/HOMESTREET ,167,SNM,7219
WILMINGTON TR NA/M&T BK CORP ,168,NAT,7175
LUTHER BURBANK SVG/LUTHER BURBANK CORP ,169,SNM,7075
FIRST FOUND BK/FIRST FOUND ,170,SNM,7037
HERITAGE BK/HERITAGE FC ,171,SNM,7023
SOUTHSIDE BK/SOUTHSIDE BSHRS ,172,SNM,6995
CENTRAL PACIFIC BK/CENTRAL PACIFIC FC ,173,SNM,6972
INTRUST BK NA/INTRUST FC ,174,NAT,6950
NBH BK/NATIONAL BK HOLDS CORP ,175,SMB,6949
MIDLAND ST BK/MIDLAND STATES BANCORP ,176,SMB,6873
WESTAMERICA BK/WESTAMERICA BC ,177,SMB,6867
PINNACLE BK/PINNACLE BC ,178,SNM,6799
BYLINE BK/BYLINE BC ,179,SNM,6743
FIRST BK/FB CORP ,180,SMB,6733
REPUBLIC B&TC/REPUBLIC BANCORP ,181,SNM,6468
HANMI BK/HANMI FC ,182,SNM,6437
ALLEGIANCE BK/ALLEGIANCE BSHRS ,183,SNM,6423
UNIVEST B&TC/UNIVEST FC ,184,SMB,6398
AMALGAMATED BK/WORKERS UNITED ,185,SNM,6391
HAPPY ST BK/HAPPY BSHRS ,186,SNM,6327
JOHNSON BK/JOHNSON FNCL GRP ,187,SMB,6036
HORIZON BK/HORIZON BC ,188,SNM,6036
LAKE CITY BK/LAKELAND FC ,189,SMB,6003
CROSSFIRST BK/CROSSFIRST BSHRS ,190,SNM,5993
PEAPACK GLADSTONE BK/PEAPACK-GLADSTONE FC ,191,SMB,5971
BANK OF COLORADO/PINNACLE BC ,192,SNM,5935
UNION B&TC/FARMERS & MRCH INV ,193,SNM,5861
CITY NB OF WV/CITY HC ,194,NAT,5831
BANKERS TC/BTC FC ,195,SNM,5829
CENTIER BK/FIRST BSHRS ,196,SNM,5761
MIDWESTONE BK/MIDWESTONE FNCL GRP ,197,SNM,5731
WASHINGTON TC OF WESTERLY/WASHINGTON TR BC ,198,SNM,5719
FIRST AMER BK/FIRST AMER BK CORP ,199,SNM,5704
LAKE FOREST B&TC NA/WINTRUST FC ,200,NAT,5702
ALPINE BK/ALPINE BK OF CO ,201,SNM,5639
GREAT SOUTHERN BK/GREAT SOUTHERN BC ,202,SNM,5607
BROOKLINE BK/BROOKLINE BC ,203,SMB,5475
PREFERRED BK/ ,204,SNM,5450
FIRST NAT BKG ASSN/FIRST BSHRS ,205,NAT,5437
FREMONT BK/FREMONT BC ,206,SNM,5402
DBA REPUBLIC BANK/REPUBLIC FIRST BC ,207,SNM,5386
COMMUNITY TR BK INC/COMMUNITY TR BC ,208,SMB,5326
SUNFLOWER BK NA/FIRSTSUN CAP BC ,209,NAT,5308
FIVE STAR BK/FINANCIAL INST ,210,SMB,5292
RBC BK GA NA/RBC US GRP HOLDS LLC ,211,NAT,5267
WELLS FARGO BK S CENT NA/WELLS FARGO & CO ,212,NAT,5262
GERMAN AMER BK/GERMAN AMER BC ,213,SNM,5210
PEOPLES BK/PEOPLES BC ,214,SMB,5134
CAMDEN NB/CAMDEN NAT CORP ,215,NAT,5068
STOCKMAN BK OF MT/STOCKMAN FC ,216,SNM,5019
HERITAGE BK OF CMRC/HERITAGE CMRC CORP ,217,SMB,4999
BANKPLUS/BANCPLUS CORP ,218,SNM,4940
